doc_id,title,doc_type,product_ids,keywords,drive_path,local_path,format,source
DS-M740D,Utilcell M740D Digital Load Cell 15-60t,datasheet,M740D,"m740d,load cell,digital,15-60t,truck scale,weighing,oiml,r60,rs485,ip68,utilcell",UCS-Knowledge-Base/clients-package/datasheets/En-De_DS_M740D_Utilcell.pdf,knowledge-base/clients-package/datasheets/En-De_DS_M740D_Utilcell.pdf,PDF,clients_package
DS-M740-60T,Utilcell M740 15-60t Load Cell Datasheet,datasheet,M740-60T,"m740,15-60t,truck scale,weighbridge,heavy capacity,load cell,utilcell",UCS-Knowledge-Base/clients-package/datasheets/En-De_DS_M740-15-60t_Utilcell.pdf,knowledge-base/clients-package/datasheets/En-De_DS_M740-15-60t_Utilcell.pdf,PDF,clients_package
DS-WDESK-BL,WDESK-BL Weighing Indicator,datasheet,WDESK-BL,"wdesk,indicator,display,weighing desk,utilcell,serie w",UCS-Knowledge-Base/clients-package/datasheets/WDESK-BL_EN-1.pdf,knowledge-base/clients-package/datasheets/WDESK-BL_EN-1.pdf,PDF,clients_package
DS-SMART-DIGITAL,Smart-Digital Utilcell Datasheet,datasheet,Smart-Digital,"smart digital,digital weighing,transmitter,utilcell",UCS-Knowledge-Base/clients-package/datasheets/En-De_DS_Smart-Digital_Utilcell.pdf,knowledge-base/clients-package/datasheets/En-De_DS_Smart-Digital_Utilcell.pdf,PDF,clients_package
DS-CLM8,CLM8 Product Datasheet,datasheet,CLM8,"clm8,utilcell,weighing,load cell,compact",UCS-Knowledge-Base/clients-package/datasheets/CLM8_EN.pdf,knowledge-base/clients-package/datasheets/CLM8_EN.pdf,PDF,clients_package
MKT-SW-GENERAL,SensWEIGHT General Leaflet A3,marketing,SensWEIGHT,"sensweight,leaflet,overview,remote monitoring,iiot,weighing,24/7",UCS-Knowledge-Base/clients-package/marketing/SensWEIGHT_Leaflet_A3_PRINT_READY.pdf,knowledge-base/clients-package/marketing/SensWEIGHT_Leaflet_A3_PRINT_READY.pdf,PDF,clients_package
MKT-SW-TRUCK,SensWEIGHT Truck Scale Leaflet,marketing,"SensWEIGHT,M740-60T","sensweight,truck scale,weighbridge,digitalization,fleet",UCS-Knowledge-Base/clients-package/marketing/SensWEIGHT_Leaflet_A3_TruckScalePRINT_READY.pdf,knowledge-base/clients-package/marketing/SensWEIGHT_Leaflet_A3_TruckScalePRINT_READY.pdf,PDF,clients_package
MKT-SW-BELT,SensWEIGHT Belt Scale Leaflet,marketing,SensWEIGHT,"sensweight,belt scale,conveyor,continuous weighing",UCS-Knowledge-Base/clients-package/marketing/SensWEIGHT_BeltScale_Leaflet_A3_PRINT_READY.pdf,knowledge-base/clients-package/marketing/SensWEIGHT_BeltScale_Leaflet_A3_PRINT_READY.pdf,PDF,clients_package
MKT-SW-SILO,SensWEIGHT Silo Leaflet,marketing,"SensWEIGHT,SensSILO","sensweight,silo,agriculture,storage,inventory,theft,structural,grain,cement",UCS-Knowledge-Base/clients-package/marketing/SensWEIGHT_Leaflet_A3_SILOPRINT_READY.pdf,knowledge-base/clients-package/marketing/SensWEIGHT_Leaflet_A3_SILOPRINT_READY.pdf,PDF,clients_package
MKT-SW-WB-DIG,SensWEIGHT Weighbridge Digitalization,marketing,SensWEIGHT,"weighbridge,digitalization,remote,diagnostics,sensweight",UCS-Knowledge-Base/clients-package/marketing/SensWEIGHT_Weighbridge_Digitalization.pdf,knowledge-base/clients-package/marketing/SensWEIGHT_Weighbridge_Digitalization.pdf,PDF,clients_package
MKT-SW-RO,SensWEIGHT Leaflet RO,marketing,SensWEIGHT,"sensweight,romania,leaflet,weighing",UCS-Knowledge-Base/clients-package/marketing/SensWEIGHT_Leaflet_A3_RO.pdf,knowledge-base/clients-package/marketing/SensWEIGHT_Leaflet_A3_RO.pdf,PDF,clients_package
MKT-SENSVIBRA,SensVibra Leaflet A3,marketing,SensVibra,"sensvibra,vibration,monitoring,industrial,predictive maintenance",UCS-Knowledge-Base/clients-package/marketing/SensVibra_Leaflet_A3_PRINT_READY.pdf,knowledge-base/clients-package/marketing/SensVibra_Leaflet_A3_PRINT_READY.pdf,PDF,clients_package
PL-SW-SAAS,SensWEIGHT SaaS Pricing,price_list,"SensWEIGHT,UCS-CLOUD","pricing,saas,subscription,cloud,sensweight,monthly,annual,basic,advanced,professional,enterprise,59,99,199,299",UCS-Knowledge-Base/clients-package/pricing/SensWEIGHT_SaaS_Pricing.pdf,knowledge-base/clients-package/pricing/SensWEIGHT_SaaS_Pricing.pdf,PDF,clients_package
PL-TRUCK-DIG,Digitalization of Truck Scales Offer,price_list,"SensWEIGHT,M740-60T","truck scale,digitalization,pricing,offer,load cell",UCS-Knowledge-Base/clients-package/pricing/Digitalizaion of truck scales.pdf,knowledge-base/clients-package/pricing/Digitalizaion of truck scales.pdf,PDF,clients_package
PL-LOADCELL-OFFER,Load Cell Offer Digital Truck Scale,price_list,"M740-60T,M740D","load cell,offer,truck scale,digital,pricing,m740",UCS-Knowledge-Base/clients-package/pricing/Load cell offer digital truck scale.pdf,knowledge-base/clients-package/pricing/Load cell offer digital truck scale.pdf,PDF,clients_package
CERT-OIML-R76,CE Type Approval OIML R76,certification,"M740-60T,M740D","ce,oiml,r76,certification,approval,weighing,legal metrology",UCS-Knowledge-Base/clients-package/certificates/CERTIFICATO_APPROVAZIONE_CE_DEL_TIPO_OIMLR76.pdf,knowledge-base/clients-package/certificates/CERTIFICATO_APPROVAZIONE_CE_DEL_TIPO_OIMLR76.pdf,PDF,clients_package
