doc_id,drive_file_id,drive_url,notes
DS-M740D,1-0_ORwB3os6341dufSAUj75_hANKW2_5,,Paste Google Drive file ID from share link (between /d/ and /view)
DS-M740-60T,1IeN0n22_Khs4j9grmNm-0aoSz34Ob8Uk,,
DS-WDESK-BL,1lfcqzWidSGXRg1JLNnaBhfDTab-RCSkF,,
DS-SMART-DIGITAL,1JBSMiVGs-7D5c1-h2jRulpm5tJM1cqF1,,
DS-CLM8,15vwyj6Ov_AmkGjYrx1gfqpVs-Tv6oZrs,,
MKT-SW-GENERAL,1UBdfPUGEDvLjnot3As9llI3VhSV2pJ7j,,
MKT-SW-TRUCK,1DnjOR_OuI_vXUw4i7feeFXyHijbO9tR3,,
MKT-SW-BELT,1JyuFV3rl2mdp0257ZBllRg1PZNia9sXl,,
MKT-SW-SILO,1MdiX5VwCuzQNytoGQ74dF_zdirg-gTPL,,
MKT-SW-WB-DIG,1l44iWjBqUqEDG8HS2-oK5EoD49eEQINp,,
MKT-SW-RO,1YMkpPRtw_8YG-lVerIxxa2xfurATbbq5,,
MKT-SENSVIBRA,1FN9SRDbZlhx3iIRGf8yI47DOw-sB-pjh,,
PL-SW-SAAS,1y03AGIo2fvriiXeqA7EvUVCgFiMzDng_,,
PL-TRUCK-DIG,17NwYs0wYReT6KDkQvN7P9KvXqmEEi4TY,,
PL-LOADCELL-OFFER,1Ku1ynvrdvDyLuqNjZV-TIdtXsa2XbF-e,,
CERT-OIML-R76,1aeqk9qTqV5heq8sjzq6f7wE82CZezVem,,
CERT-OIML-R76-DK,1RKuydbTcbmmSo-VfWDCWbsJwPFFzgKkN,,
CERT-R76-GB,1yFnIGYyRbBuvVlmnulrDglRC-ewTzNbe,,
CERT-CE-SERIE-W,1KxRSO7ruoQF06d1vUnEPU3G7bAwGSkRq,,
CERT-CE-CLM8,1jI90-OQuys8E_uZM7xBGjOtuWn1smaqE,,
CERT-EXPIRY-2028,1iFLS7ENnVs3buLMB4KwOLuJ5g6AhJ0Zk,,
VID-ROI-IOT,1VfgdnicwRp0hP2Iz_zu5QFSavhoRo5Jh,,
VID-BIZ-ROI,1ro5v9fmD0U7rI77MQU6eSUEV_3CF4pl1,,
VID-DETECTIVE,1oCyoQQNbxfMYPFgzAlJgjFeJ6crCXI-u,,
